aquifer_type,chinese_type,well_id,name,source,original_start_date,original_end_date,start_date,end_date,valid_weeks,label,output_file
f,裂隙水,BY_83614,BY_83614,prior_good,1985-11-11,2017-12-04,1988-02-15,2016-01-18,1458,裂隙水1,f_BY_83614_weekly.csv
f,裂隙水,HE_6253,HE_6253,published_dataset,1952-02-11,2018-01-29,1988-02-15,2016-01-18,1458,裂隙水2,f_HE_6253_weekly.csv
f,裂隙水,HE_7824,HE_7824,prior_good,1962-02-26,2016-01-18,1988-02-15,2016-01-18,1458,裂隙水3,f_HE_7824_weekly.csv
f,裂隙水,NW_100140762,NW_100140762,prior_good,1970-02-23,2017-09-18,1988-02-15,2016-01-18,1458,裂隙水4,f_NW_100140762_weekly.csv
f,裂隙水,SN_52410759,SN_52410759,prior_good,1970-11-09,2017-11-13,1988-02-15,2016-01-18,1458,裂隙水5,f_SN_52410759_weekly.csv
k,岩溶水,BW_100-813-7,BW_100-813-7,prior_good,1979-05-14,2016-12-19,1988-02-15,2016-01-18,1458,岩溶水1,k_BW_100-813-7_weekly.csv
k,岩溶水,BW_103-763-0,BW_103-763-0,prior_good,1977-12-19,2016-12-19,1988-02-15,2016-01-18,1458,岩溶水2,k_BW_103-763-0_weekly.csv
k,岩溶水,BY_15120,BY_15120,prior_good,1967-07-10,2017-07-10,1988-02-15,2016-01-18,1458,岩溶水3,k_BY_15120_weekly.csv
k,岩溶水,NW_91163705,NW_91163705,prior_good,1979-11-12,2017-09-04,1988-02-15,2016-01-18,1458,岩溶水4,k_NW_91163705_weekly.csv
k,岩溶水,NW_91174909,NW_91174909,prior_good,1988-02-15,2017-06-05,1988-02-15,2016-01-18,1458,岩溶水5,k_NW_91174909_weekly.csv
p,孔隙水,SN_46460564,SN_46460564,prior_good,1951-01-01,2017-11-13,1988-02-15,2016-01-18,1458,孔隙水1,p_SN_46460564_weekly.csv
p,孔隙水,HE_12117,HE_12117,prior_good,1960-09-26,2018-01-22,1988-02-15,2016-01-18,1458,孔隙水2,p_HE_12117_weekly.csv
p,孔隙水,RP_2378140100,RP_2378140100,prior_good,1954-12-27,2018-01-22,1988-02-15,2016-01-18,1458,孔隙水3,p_RP_2378140100_weekly.csv
p,孔隙水,BB_32455305,BB_32455305,prior_good,1958-06-23,2018-05-14,1988-02-15,2016-01-18,1458,孔隙水4,p_BB_32455305_weekly.csv
p,孔隙水,BB_30400591,BB_30400591,prior_good,1982-01-04,2018-05-21,1988-02-15,2016-01-18,1458,孔隙水5,p_BB_30400591_weekly.csv
