split,aquifer_type,model,RMSE,MAE,R2,NSE,PICP95,MPIW95,TAU_INIT
future_holdout,孔隙水,LSTM,0.21328637478249926,0.16172592754249973,0.2852451769983508,0.2852451769983508,,,
future_holdout,孔隙水,Persistence,0.3833343947850744,0.34750000000000325,-1.2066072568344202,-1.2066072568344202,,,
future_holdout,孔隙水,Stacking,0.19027974713358112,0.16071553059026827,0.26106143355310235,0.26106143355310235,0.7555555555555555,0.6826701230074074,0.2652670436670067
future_holdout,孔隙水,TCN,0.2186102025708654,0.194943319405913,-0.31768076853223653,-0.31768076853223653,,,
future_holdout,孔隙水,Transformer,0.2442670459371533,0.2008719820051531,0.3561420778019757,0.3561420778019757,,,
future_holdout,岩溶水,LSTM,0.2508661030820079,0.2295469440774285,-0.11206636165885726,-0.11206636165885726,,,
future_holdout,岩溶水,Persistence,0.6773178150023909,0.6311102222222341,-5.20758558724566,-5.20758558724566,,,
future_holdout,岩溶水,Stacking,0.39941678879669856,0.20001414977923115,-1.2459182136932032,-1.2459182136932032,0.9,0.8510058187265006,0.24191397938838355
future_holdout,岩溶水,TCN,0.6159128915112372,0.5762724924247284,-3.7840677428105534,-3.7840677428105534,,,
future_holdout,岩溶水,Transformer,0.19056426543601554,0.16877353187341745,0.01767418211138942,0.01767418211138942,,,
future_holdout,裂隙水,LSTM,0.2322572947855912,0.19033232811742382,0.5613612208864746,0.5613612208864746,,,
future_holdout,裂隙水,Persistence,0.531191619122115,0.45166666666666994,-2.524160931853574,-2.524160931853574,,,
future_holdout,裂隙水,Stacking,0.38120065140454584,0.3494881570982093,-0.3594579014349662,-0.3594579014349662,0.5,0.4030887791753161,0.22113335876607595
future_holdout,裂隙水,TCN,0.319561634711262,0.2791643311384629,0.07292299424316435,0.07292299424316435,,,
future_holdout,裂隙水,Transformer,0.38431955271851553,0.3119043477881405,-0.3142904529965442,-0.3142904529965442,,,
test,孔隙水,LSTM,0.17429257603524473,0.12436830637406053,0.933746139132123,0.933746139132123,,,
test,孔隙水,Persistence,0.16134683905188862,0.10612466124661361,0.9447021606647428,0.9447021606647428,,,
test,孔隙水,Stacking,0.1887435418629236,0.1369411032481752,0.9225955408052525,0.9225955408052525,0.932249322493225,0.7470385793595485,0.2652670436670067
test,孔隙水,TCN,0.20761521624424703,0.14858464793986056,0.9041530951745855,0.9041530951745855,,,
test,孔隙水,Transformer,0.17486681492831913,0.1265879564663738,0.9348742144501992,0.9348742144501992,,,
test,岩溶水,LSTM,0.3309675290027989,0.12837731450712747,0.8775025259017862,0.8775025259017862,,,
test,岩溶水,Persistence,0.34693232705611815,0.14568084010840268,0.8359952650224164,0.8359952650224164,,,
test,岩溶水,Stacking,0.3558696900141561,0.16293643026768892,0.835051874883728,0.835051874883728,0.970189701897019,1.3568222659616611,0.24191397938838355
test,岩溶水,TCN,0.40628719370789357,0.2606614800849309,0.8325403174536951,0.8325403174536951,,,
test,岩溶水,Transformer,0.3306362541031179,0.14877014964342278,0.8732075183455229,0.8732075183455229,,,
test,裂隙水,LSTM,0.14290512116905046,0.09790355831588911,0.9221594038713047,0.9221594038713047,,,
test,裂隙水,Persistence,0.12019299044571159,0.08476964769647628,0.9444750280484739,0.9444750280484739,,,
test,裂隙水,Stacking,0.1430549833738522,0.09925612784694572,0.9221909595155796,0.9221909595155796,0.9376693766937669,0.4457958187038035,0.22113335876607595
test,裂隙水,TCN,0.18268283276180927,0.13515654284062015,0.8712766719136491,0.8712766719136491,,,
test,裂隙水,Transformer,0.12366844810435358,0.09054029501747034,0.9361567548016492,0.9361567548016492,,,
