split,aquifer_type,well,model,RMSE,MAE,R2,NSE,PICP95,MPIW95,TAU_INIT
test,裂隙水,裂隙水1,Persistence,0.22857458621512033,0.15471544715446994,0.9256058455863538,0.9256058455863538,,,
test,裂隙水,裂隙水1,LSTM,0.261679171967524,0.16556862047259963,0.9024962674954776,0.9024962674954776,,,
test,裂隙水,裂隙水1,Transformer,0.20775870471484492,0.14569463885788067,0.9385387504795557,0.9385387504795557,,,
test,裂隙水,裂隙水1,TCN,0.3305680168942386,0.22946476739438795,0.8444017915738192,0.8444017915738192,,,
test,裂隙水,裂隙水1,Stacking,0.2636354887383829,0.17901515707778318,0.9010329396837934,0.9010329396837934,0.8861788617886179,0.6567593070217799,0.20252978297505783
future_holdout,裂隙水,裂隙水1,Persistence,0.7050508255910999,0.545666666666682,-1.365348592407595,-1.365348592407595,,,
future_holdout,裂隙水,裂隙水1,LSTM,0.33305805114016923,0.24933811946420975,0.472169871824636,0.472169871824636,,,
future_holdout,裂隙水,裂隙水1,Transformer,0.8264598316264951,0.6391269292432109,-2.250108082562672,-2.250108082562672,,,
future_holdout,裂隙水,裂隙水1,TCN,0.5592966561150197,0.49724939098236215,-0.48846541614635086,-0.48846541614635086,,,
future_holdout,裂隙水,裂隙水1,Stacking,0.8431864943820254,0.8224908940188054,-2.382996793825468,-2.382996793825468,0.0,0.6178347851629421,0.20252978297505783
test,裂隙水,裂隙水2,Persistence,0.05812797767528114,0.04113821138211384,0.9461104016324112,0.9461104016324112,,,
test,裂隙水,裂隙水2,LSTM,0.05276364117687037,0.034565239502318566,0.9555978462949464,0.9555978462949464,,,
test,裂隙水,裂隙水2,Transformer,0.052953831452954105,0.03465567479953109,0.955277167974539,0.955277167974539,,,
test,裂隙水,裂隙水2,TCN,0.06423633241651411,0.04617581421560758,0.9341893783545818,0.9341893783545818,,,
test,裂隙水,裂隙水2,Stacking,0.05701067143173948,0.03629798347096457,0.9481621678493438,0.9481621678493438,0.967479674796748,0.2196027216665341,0.2005589487070815
future_holdout,裂隙水,裂隙水2,Persistence,0.2946806180709305,0.272333333333332,-5.853061618190038,-5.853061618190038,,,
future_holdout,裂隙水,裂隙水2,LSTM,0.07745379972601701,0.052485443704051706,0.5265578184338706,0.5265578184338706,,,
future_holdout,裂隙水,裂隙水2,Transformer,0.07560024742921286,0.06484895280844967,0.5489466358395214,0.5489466358395214,,,
future_holdout,裂隙水,裂隙水2,TCN,0.11106955019539928,0.08954137616715817,0.02642028020205278,0.02642028020205278,,,
future_holdout,裂隙水,裂隙水2,Stacking,0.08034216300028121,0.05912287070280702,0.4905887496595499,0.4905887496595499,0.8333333333333334,0.18254643487381184,0.2005589487070815
test,裂隙水,裂隙水3,Persistence,0.07387640744673331,0.05845528455284505,0.9617088369266568,0.9617088369266568,,,
test,裂隙水,裂隙水3,LSTM,0.11427255036275703,0.09357681497274915,0.9083840978234902,0.9083840978234902,,,
test,裂隙水,裂隙水3,Transformer,0.11029280814526174,0.09127057139499924,0.9146543459508527,0.9146543459508527,,,
test,裂隙水,裂隙水3,TCN,0.15324414897467512,0.1298290469118649,0.8352388458125461,0.8352388458125461,,,
test,裂隙水,裂隙水3,Stacking,0.10851878995143423,0.08245524299208944,0.9173777710136016,0.9173777710136016,0.959349593495935,0.46102542742309655,0.2603113446160885
future_holdout,裂隙水,裂隙水3,Persistence,0.5938434137043144,0.5369999999999957,-0.3540725849630888,-0.3540725849630888,,,
future_holdout,裂隙水,裂隙水3,LSTM,0.28626003349058743,0.26917342118400994,0.6853559724009168,0.6853559724009168,,,
future_holdout,裂隙水,裂隙水3,Transformer,0.2508985790998387,0.23173716131276098,0.7582900877335178,0.7582900877335178,,,
future_holdout,裂隙水,裂隙水3,TCN,0.28831869782336694,0.25070222626586847,0.6808141186737912,0.6808141186737912,,,
future_holdout,裂隙水,裂隙水3,Stacking,0.22007329683133098,0.16685070657301537,0.8140343398610194,0.8140343398610194,0.6666666666666666,0.40888511748919426,0.2603113446160885
test,岩溶水,岩溶水1,Persistence,0.7678859082058579,0.2909351219512198,0.9192105196078579,0.9192105196078579,,,
test,岩溶水,岩溶水1,LSTM,0.7727125714300443,0.26553301758172565,0.9181916986226986,0.9181916986226986,,,
test,岩溶水,岩溶水1,Transformer,0.7613639048306429,0.3055478086605199,0.9205770549706921,0.9205770549706921,,,
test,岩溶水,岩溶水1,TCN,0.9583798124473071,0.62195873132133,0.8741547773274602,0.8741547773274602,,,
test,岩溶水,岩溶水1,Stacking,0.8040365442003825,0.3359708283357602,0.9114246257503933,0.9114246257503933,0.975609756097561,2.957367617741426,0.21563202705723467
future_holdout,岩溶水,岩溶水1,Persistence,1.1213895134683076,1.0412683333333443,-6.257345987608038,-6.257345987608038,,,
