well,model,true_peak_count,pred_peak_count,tp,fp,fn,precision,recall,f1,detection_rate,amplitude_mae,amplitude_rmse,amplitude_mape,max_amplitude_error,mean_timing_error,std_timing_error,max_timing_error,composite_score
孔隙水,LSTM,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0263403689381434,0.0263403689381434,0.0646548083901408,0.0263403689381434,2.0,0.0,2.0,0.8664728275677942
孔隙水,Transformer,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0051015130320308,0.0051015130320308,0.0125221232990448,0.0051015130320308,0.0,0.0,0.0,0.999962438333621
孔隙水,TCN,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0690898631833079,0.0690898631833079,0.1695872930370837,0.0690898631833079,2.0,0.0,2.0,0.8661587661223398
孔隙水,Stacking,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0714828238388065,0.0714828238388065,0.1754610305321712,0.0714828238388065,1.0,0.0,1.0,0.8994745388878859
岩溶水,LSTM,4,4,4,0,0,1.0,1.0,1.0,1.0,0.3205081371228644,0.3813735421377209,0.3133110494256893,0.6563530020392676,1.0,0.0,1.0,0.8990630025682095
岩溶水,Transformer,4,4,4,0,0,1.0,1.0,1.0,1.0,0.6515357354447708,0.6731978581833963,0.6367350567443251,0.8723529313802061,1.75,1.299038105676658,4.0,0.8708291535472776
岩溶水,TCN,4,3,3,0,1,1.0,0.75,0.8571428571428571,0.75,0.6648133096820033,0.8114718890543914,0.6504886886977551,1.1851864795565916,1.0,0.0,1.0,0.826632574531555
岩溶水,Stacking,4,3,3,0,1,1.0,0.75,0.8571428571428571,0.75,0.6561312146382695,0.6963621537283845,0.6419737072129982,0.9027743029015768,1.0,0.0,1.0,0.8266577924902822
裂隙水,LSTM,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.6666666666666666,0.1970584687005327,0.1998419125499901,0.0778705811954392,0.2302962472821264,1.0,1.0,2.0,0.7997665700296882
裂隙水,Transformer,3,3,3,0,0,1.0,1.0,1.0,1.0,0.0307554937398795,0.0337551640100158,0.0121430585836594,0.0478236447636106,0.6666666666666666,0.4714045207910317,1.0,0.919963575247328
裂隙水,TCN,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.6666666666666666,0.2772285026946264,0.2782906534457906,0.1095404221647757,0.3015193464218555,0.5,0.5,1.0,0.8330050716460771
裂隙水,Stacking,3,3,3,0,0,1.0,1.0,1.0,1.0,0.2204486512448985,0.2508575114410574,0.0870332898512187,0.362069137256924,0.6666666666666666,0.4714045207910317,1.0,0.9197391271766469
