split,aquifer_type,well,model,RMSE,MAE,R2,NSE
test,裂隙水,裂隙水1,Persistence,0.22857458621512033,0.15471544715446994,0.9256058455863538,0.9256058455863538
test,裂隙水,裂隙水1,LSTM,0.2617413030916247,0.16586061368568247,0.9024499609006976,0.9024499609006976
test,裂隙水,裂隙水1,Transformer,0.237173663260229,0.1704476260269324,0.9199030737162545,0.9199030737162545
test,裂隙水,裂隙水1,TCN,0.34458228979988237,0.24157014505571553,0.8309291124302236,0.8309291124302236
test,裂隙水,裂隙水1,Stacking,0.26267612264540285,0.17251995591187844,0.9017519088140007,0.9017519088140007
future_holdout,裂隙水,裂隙水1,Persistence,0.7050508255910999,0.545666666666682,-1.365348592407595,-1.365348592407595
future_holdout,裂隙水,裂隙水1,LSTM,0.34047940058096965,0.2609600631838456,0.4483851030628433,0.4483851030628433
future_holdout,裂隙水,裂隙水1,Transformer,0.7243735910318061,0.5608543808156355,-1.4967756488157673,-1.4967756488157673
future_holdout,裂隙水,裂隙水1,TCN,0.482147233924404,0.3949889109479121,-0.10614907872364676,-0.10614907872364676
future_holdout,裂隙水,裂隙水1,Stacking,0.8663141407781609,0.8247056030709852,-2.571125473709841,-2.571125473709841
test,裂隙水,裂隙水2,Persistence,0.05812797767528114,0.04113821138211384,0.9461104016324112,0.9461104016324112
test,裂隙水,裂隙水2,LSTM,0.05218677870541684,0.03422402724282038,0.9565634323523503,0.9565634323523503
test,裂隙水,裂隙水2,Transformer,0.049100859969663846,0.030670489885469866,0.9615485504491781,0.9615485504491781
test,裂隙水,裂隙水2,TCN,0.05837153346544028,0.04052184062947263,0.9456578615192778,0.9456578615192778
test,裂隙水,裂隙水2,Stacking,0.05667986318082115,0.0368679426689191,0.9487620074875998,0.9487620074875998
future_holdout,裂隙水,裂隙水2,Persistence,0.2946806180709305,0.272333333333332,-5.853061618190038,-5.853061618190038
future_holdout,裂隙水,裂隙水2,LSTM,0.057867770120984874,0.04853702249902104,0.7357256656029225,0.7357256656029225
future_holdout,裂隙水,裂隙水2,Transformer,0.1365947620639944,0.0890249876326152,-0.4724806096919305,-0.4724806096919305
future_holdout,裂隙水,裂隙水2,TCN,0.0757328312828508,0.05711055592582852,0.5473631798471426,0.5473631798471426
future_holdout,裂隙水,裂隙水2,Stacking,0.07930898333799397,0.06056114565695623,0.5036063034964857,0.5036063034964857
test,裂隙水,裂隙水3,Persistence,0.07387640744673331,0.05845528455284505,0.9617088369266568,0.9617088369266568
test,裂隙水,裂隙水3,LSTM,0.10358590421125821,0.0845971348866478,0.9247184859353087,0.9247184859353087
test,裂隙水,裂隙水3,Transformer,0.10048245116165014,0.08114114003390728,0.9291618087466551,0.9291618087466551
test,裂隙水,裂隙水3,TCN,0.15303628357129206,0.12920901553385525,0.8356855175628447,0.8356855175628447
test,裂隙水,裂隙水3,Stacking,0.11750532492324131,0.0873176165528477,0.9031271408860272,0.9031271408860272
future_holdout,裂隙水,裂隙水3,Persistence,0.5938434137043144,0.5369999999999957,-0.3540725849630888,-0.3540725849630888
future_holdout,裂隙水,裂隙水3,LSTM,0.4113581972354396,0.3836566420713628,0.3502618475665772,0.3502618475665772
future_holdout,裂隙水,裂隙水3,Transformer,0.19297561612924624,0.17323050825407524,0.8570109010195444,0.8570109010195444
