dropout,split,well,model,RMSE,MAE,R2,NSE
0.0,selection,裂隙水1,Persistence,0.17702518653193453,0.11995833333333247,0.9714820614204666,0.9714820614204666
0.0,selection,裂隙水1,LSTM,0.15827106911097683,0.10922070661454555,0.977204397256342,0.977204397256342
0.0,selection,裂隙水1,Transformer,0.1412000727512957,0.09222435003869217,0.981856634526757,0.981856634526757
0.0,selection,裂隙水1,TCN,0.202105535688039,0.14758236036528274,0.9628289844993507,0.9628289844993507
0.0,selection,裂隙水1,Stacking,0.17958428956123287,0.1365362248446156,0.9706515824144085,0.9706515824144085
0.0,selection,裂隙水2,Persistence,0.07488602450835985,0.04516666666666692,0.9570182357801844,0.9570182357801844
0.0,selection,裂隙水2,LSTM,0.06501807336434282,0.0395976783029937,0.9675995622029109,0.9675995622029109
0.0,selection,裂隙水2,Transformer,0.06219626980407051,0.03686884314138546,0.9703509103178088,0.9703509103178088
0.0,selection,裂隙水2,TCN,0.07776153275690875,0.051789346805807074,0.9536539942886935,0.9536539942886935
0.0,selection,裂隙水2,Stacking,0.06132379350292992,0.0378155643746935,0.9711768984944655,0.9711768984944655
0.0,selection,裂隙水3,Persistence,0.12012493496356225,0.08791666666666641,0.9630720409181802,0.9630720409181802
0.0,selection,裂隙水3,LSTM,0.12096613481379544,0.08671064802364595,0.962553038614494,0.962553038614494
0.0,selection,裂隙水3,Transformer,0.10689766705663643,0.07617520722653003,0.9707567639892576,0.9707567639892576
0.0,selection,裂隙水3,TCN,0.14019837593873002,0.10270563072964893,0.949699194426637,0.949699194426637
0.0,selection,裂隙水3,Stacking,0.10714012026031272,0.07680935723340987,0.9706239611516992,0.9706239611516992
0.0,selection,岩溶水1,Persistence,0.7958081679564795,0.37678762500000124,0.8959581637189312,0.8959581637189312
0.0,selection,岩溶水1,LSTM,0.7491895055796571,0.35734581326521775,0.9077907277154652,0.9077907277154652
0.0,selection,岩溶水1,Transformer,0.758315868338705,0.39358027319199657,0.9055305227727235,0.9055305227727235
0.0,selection,岩溶水1,TCN,0.7724237616361933,0.3934860145888171,0.9019827588234576,0.9019827588234576
0.0,selection,岩溶水1,Stacking,0.7704070789337331,0.3959236367423671,0.9024939073449745,0.9024939073449745
0.0,selection,岩溶水2,Persistence,0.17737719511081998,0.10419870833333392,0.8376818469823498,0.8376818469823498
0.0,selection,岩溶水2,LSTM,0.15962045211198156,0.10247099823912294,0.8685536293516292,0.8685536293516292
0.0,selection,岩溶水2,Transformer,0.15781992753313207,0.0990736069437503,0.8715023440210259,0.8715023440210259
0.0,selection,岩溶水2,TCN,0.16095348070179566,0.11266291456869743,0.8663489816734874,0.8663489816734874
0.0,selection,岩溶水2,Stacking,0.17454617652774762,0.11097382997049413,0.842821837953392,0.842821837953392
0.0,selection,岩溶水3,Persistence,0.1059638303070127,0.06716666666666811,0.9186810066112293,0.9186810066112293
0.0,selection,岩溶水3,LSTM,0.08787861650376498,0.050185716314794133,0.9440702189386869,0.9440702189386869
0.0,selection,岩溶水3,Transformer,0.08938931416634498,0.04981372084249713,0.942130742851371,0.942130742851371
0.0,selection,岩溶水3,TCN,0.09610305363951979,0.05871830934136971,0.9331115592771373,0.9331115592771373
0.0,selection,岩溶水3,Stacking,0.09533563062058663,0.05601692785027008,0.9341755582767052,0.9341755582767052
0.0,selection,孔隙水1,Persistence,0.07395913941865573,0.04582871930670009,0.935223848241917,0.935223848241917
0.0,selection,孔隙水1,LSTM,0.07510179112880094,0.04801770164786247,0.9332068331508611,0.9332068331508611
0.0,selection,孔隙水1,Transformer,0.06922092966426366,0.04368893533943711,0.9432577829078072,0.9432577829078072
0.0,selection,孔隙水1,TCN,0.09039917737076693,0.0585410490633438,0.9032256189404894,0.9032256189404894
0.0,selection,孔隙水1,Stacking,0.07429723349526077,0.04584905136113176,0.9346302639789652,0.9346302639789652
0.0,selection,孔隙水2,Persistence,0.32773051683763715,0.23937499999999853,0.9075485006670239,0.9075485006670239
0.0,selection,孔隙水2,LSTM,0.29660347252507174,0.2184886144312055,0.9242761554026173,0.9242761554026173
0.0,selection,孔隙水2,Transformer,0.294679087896029,0.22282004266713618,0.9252555712846963,0.9252555712846963
0.0,selection,孔隙水2,TCN,0.309104266039226,0.23245440797944614,0.9177586575478778,0.9177586575478778
0.0,selection,孔隙水2,Stacking,0.32200700099111074,0.24066202543143903,0.9107494664189973,0.9107494664189973
0.0,selection,孔隙水3,Persistence,0.16663082948042182,0.08116666666666662,0.939812691184438,0.939812691184438
0.0,selection,孔隙水3,LSTM,0.17798154424293894,0.07351114304749741,0.9313336198309741,0.9313336198309741
0.0,selection,孔隙水3,Transformer,0.1796310790196436,0.07076206224672953,0.9300549202318755,0.9300549202318755
0.0,selection,孔隙水3,TCN,0.2024324953207331,0.10529177527845306,0.9111710211554245,0.9111710211554245
0.0,selection,孔隙水3,Stacking,0.18176254404308323,0.07749835356089262,0.9283851646347825,0.9283851646347825
0.1,selection,裂隙水1,Persistence,0.17702518653193453,0.11995833333333247,0.9714820614204666,0.9714820614204666
0.1,selection,裂隙水1,LSTM,0.15741801288189805,0.1097267460800578,0.9774494644788834,0.9774494644788834
0.1,selection,裂隙水1,Transformer,0.1453408418618358,0.09943652089263631,0.980776903290241,0.980776903290241
0.1,selection,裂隙水1,TCN,0.22223579851178918,0.1693097067775561,0.9550555527350824,0.9550555527350824
0.1,selection,裂隙水1,Stacking,0.19761522039542026,0.15324126767812202,0.9644623431039263,0.9644623431039263
0.1,selection,裂隙水2,Persistence,0.07488602450835985,0.04516666666666692,0.9570182357801844,0.9570182357801844
0.1,selection,裂隙水2,LSTM,0.06518844500097254,0.03659485468128452,0.9674295372325805,0.9674295372325805
0.1,selection,裂隙水2,Transformer,0.06286966702821417,0.0357592606729104,0.9697054150711779,0.9697054150711779
0.1,selection,裂隙水2,TCN,0.07452984650441243,0.04761412342523267,0.9574261290247391,0.9574261290247391
0.1,selection,裂隙水2,Stacking,0.06710663646467233,0.03918921571784963,0.9654845429094032,0.9654845429094032
0.1,selection,裂隙水3,Persistence,0.12012493496356225,0.08791666666666641,0.9630720409181802,0.9630720409181802
0.1,selection,裂隙水3,LSTM,0.12170116073914557,0.08719859915999753,0.9620965784500068,0.9620965784500068
0.1,selection,裂隙水3,Transformer,0.1047265164371046,0.07355664163004079,0.9719325931408701,0.9719325931408701
0.1,selection,裂隙水3,TCN,0.13366227628349614,0.09680808945750599,0.9542799516823101,0.9542799516823101
0.1,selection,裂隙水3,Stacking,0.11105473426010881,0.07851237619320213,0.9684381007401073,0.9684381007401073
0.1,selection,岩溶水1,Persistence,0.7958081679564795,0.37678762500000124,0.8959581637189312,0.8959581637189312
0.1,selection,岩溶水1,LSTM,0.7373330919947254,0.34888201817535436,0.9106861777833258,0.9106861777833258
0.1,selection,岩溶水1,Transformer,0.7900714979882375,0.4217922998165809,0.8974527511312417,0.8974527511312417
0.1,selection,岩溶水1,TCN,0.7673210040064106,0.38726582357160716,0.9032735170484814,0.9032735170484814
0.1,selection,岩溶水1,Stacking,0.7765962641506594,0.4028842149076972,0.9009209535853789,0.9009209535853789
0.1,selection,岩溶水2,Persistence,0.17737719511081998,0.10419870833333392,0.8376818469823498,0.8376818469823498
0.1,selection,岩溶水2,LSTM,0.15850980152972716,0.10107973827703039,0.8703764920020611,0.8703764920020611
0.1,selection,岩溶水2,Transformer,0.1551272562996555,0.10021358299663964,0.8758497070191964,0.8758497070191964
0.1,selection,岩溶水2,TCN,0.1602100775462034,0.1133898606253112,0.867580730585583,0.867580730585583
0.1,selection,岩溶水2,Stacking,0.20114779548983594,0.13052870611334058,0.7912617295841933,0.7912617295841933
0.1,selection,岩溶水3,Persistence,0.1059638303070127,0.06716666666666811,0.9186810066112293,0.9186810066112293
0.1,selection,岩溶水3,LSTM,0.08954066650007239,0.05127833960984844,0.9419346106359728,0.9419346106359728
0.1,selection,岩溶水3,Transformer,0.08766584739449299,0.04877254857924574,0.9443407221407146,0.9443407221407146
0.1,selection,岩溶水3,TCN,0.0959705970795716,0.05952847796221263,0.9332958137162677,0.9332958137162677
0.1,selection,岩溶水3,Stacking,0.09559315264655024,0.055555757708853314,0.9338194660590129,0.9338194660590129
0.1,selection,孔隙水1,Persistence,0.07395913941865573,0.04582871930670009,0.935223848241917,0.935223848241917
0.1,selection,孔隙水1,LSTM,0.07650597833494362,0.04934748431365244,0.9306858037212915,0.9306858037212915
0.1,selection,孔隙水1,Transformer,0.07017217191039919,0.04297414389630199,0.9416875507882247,0.9416875507882247
0.1,selection,孔隙水1,TCN,0.09696772472485726,0.06409017941897002,0.8886511191952376,0.8886511191952376
0.1,selection,孔隙水1,Stacking,0.07597668142776416,0.04722927938124707,0.9316415690248613,0.9316415690248613
0.1,selection,孔隙水2,Persistence,0.32773051683763715,0.23937499999999853,0.9075485006670239,0.9075485006670239
0.1,selection,孔隙水2,LSTM,0.28783369975923295,0.21175971258246543,0.9286878593842401,0.9286878593842401
0.1,selection,孔隙水2,Transformer,0.2893474726087833,0.21275359228549012,0.9279357983967934,0.9279357983967934
0.1,selection,孔隙水2,TCN,0.31601730836668707,0.24015077091531722,0.9140389063126433,0.9140389063126433
0.1,selection,孔隙水2,Stacking,0.3155139309484372,0.24006879621579671,0.9143125394942889,0.9143125394942889
0.1,selection,孔隙水3,Persistence,0.16663082948042182,0.08116666666666662,0.939812691184438,0.939812691184438
0.1,selection,孔隙水3,LSTM,0.18368743885580333,0.0808727478205092,0.9268603074845754,0.9268603074845754
0.1,selection,孔隙水3,Transformer,0.1848823447525741,0.07167687215911916,0.9259056498621931,0.9259056498621931
0.1,selection,孔隙水3,TCN,0.2007839522860839,0.109732476735695,0.9126119175024759,0.9126119175024759
0.1,selection,孔隙水3,Stacking,0.18033186329303272,0.07925342913559254,0.9295081103523392,0.9295081103523392
0.2,selection,裂隙水1,Persistence,0.17702518653193453,0.11995833333333247,0.9714820614204666,0.9714820614204666
0.2,selection,裂隙水1,LSTM,0.15608095459834784,0.1122633812430081,0.9778309117055891,0.9778309117055891
0.2,selection,裂隙水1,Transformer,0.1435041776770919,0.0979840794674305,0.9812596759294208,0.9812596759294208
0.2,selection,裂隙水1,TCN,0.1998779899671705,0.1492187013720655,0.9636438442930984,0.9636438442930984
0.2,selection,裂隙水1,Stacking,0.19358425316731598,0.15334791996958305,0.96589735511782,0.96589735511782
0.2,selection,裂隙水2,Persistence,0.07488602450835985,0.04516666666666692,0.9570182357801844,0.9570182357801844
0.2,selection,裂隙水2,LSTM,0.06129271200061103,0.03451236066936628,0.9712061086334292,0.9712061086334292
0.2,selection,裂隙水2,Transformer,0.05922393285497205,0.03785006559310584,0.9731170345401156,0.9731170345401156
0.2,selection,裂隙水2,TCN,0.07207768283825718,0.048117243912705256,0.960181552881372,0.960181552881372
0.2,selection,裂隙水2,Stacking,0.0604766270800696,0.03584592301518536,0.9719677595832908,0.9719677595832908
0.2,selection,裂隙水3,Persistence,0.12012493496356225,0.08791666666666641,0.9630720409181802,0.9630720409181802
0.2,selection,裂隙水3,LSTM,0.12230090429700882,0.08642084414292353,0.9617220816868266,0.9617220816868266
