split,aquifer_type,well,model,RMSE,MAE,R2,NSE
test,裂隙水,裂隙水1,Persistence,0.2296188001632894,0.1551239669421472,0.9252182768391141,0.9252182768391141
test,裂隙水,裂隙水1,LSTM,0.2539151979486752,0.16370526427987084,0.9085554191023306,0.9085554191023306
test,裂隙水,裂隙水1,Transformer,0.20845207887950098,0.1370743005757965,0.9383698757948832,0.9383698757948832
test,裂隙水,裂隙水1,TCN,0.3288481103454905,0.22818486699828067,0.8466190996101777,0.8466190996101777
test,裂隙水,裂隙水1,Stacking,0.2654688015181927,0.17225645325949712,0.9000443011407077,0.9000443011407077
future_holdout,裂隙水,裂隙水1,Persistence,0.7050508255910999,0.545666666666682,-1.365348592407595,-1.365348592407595
future_holdout,裂隙水,裂隙水1,LSTM,0.5124468438044922,0.41668156627800007,-0.2495451353911371,-0.2495451353911371
future_holdout,裂隙水,裂隙水1,Transformer,0.5426440118066002,0.4451627160184216,-0.40114903659524814,-0.40114903659524814
future_holdout,裂隙水,裂隙水1,TCN,0.46519948995528043,0.37206842865715356,-0.029752281005578585,-0.029752281005578585
future_holdout,裂隙水,裂隙水1,Stacking,0.8260247493506141,0.7955000356361741,-2.2466870035056306,-2.2466870035056306
test,裂隙水,裂隙水2,Persistence,0.0584227964111267,0.04132231404958678,0.9426295115271356,0.9426295115271356
test,裂隙水,裂隙水2,LSTM,0.049919343202323864,0.0315035395900956,0.9581147037465423,0.9581147037465423
test,裂隙水,裂隙水2,Transformer,0.05001789019597162,0.028845685219950436,0.957949166941535,0.957949166941535
test,裂隙水,裂隙水2,TCN,0.055605683406057045,0.033878172676801134,0.9480288613886076,0.9480288613886076
test,裂隙水,裂隙水2,Stacking,0.053824895780213614,0.033467780837477486,0.9513043394379453,0.9513043394379453
future_holdout,裂隙水,裂隙水2,Persistence,0.2946806180709305,0.272333333333332,-5.853061618190038,-5.853061618190038
future_holdout,裂隙水,裂隙水2,LSTM,0.07772196373017123,0.055330990609943835,0.5232737978913913,0.5232737978913913
future_holdout,裂隙水,裂隙水2,Transformer,0.09012475845802886,0.07220873030041824,0.35898274494204496,0.35898274494204496
future_holdout,裂隙水,裂隙水2,TCN,0.047830835494270627,0.03975865989064952,0.819450027475028,0.819450027475028
future_holdout,裂隙水,裂隙水2,Stacking,0.05723916845594475,0.04590369747666803,0.7414359603146856,0.7414359603146856
test,裂隙水,裂隙水3,Persistence,0.07445670992524814,0.05917355371900777,0.9607984506929197,0.9607984506929197
test,裂隙水,裂隙水3,LSTM,0.10123190776948254,0.08208704536531897,0.9275346505879148,0.9275346505879148
test,裂隙水,裂隙水3,Transformer,0.08075100250166492,0.06496940683550813,0.9538903959256818,0.9538903959256818
test,裂隙水,裂隙水3,TCN,0.14534440496134304,0.12161763152854664,0.850620093167711,0.850620093167711
test,裂隙水,裂隙水3,Stacking,0.11933549678689087,0.08583102629024582,0.8992987553170546,0.8992987553170546
future_holdout,裂隙水,裂隙水3,Persistence,0.5938434137043144,0.5369999999999957,-0.3540725849630888,-0.3540725849630888
future_holdout,裂隙水,裂隙水3,LSTM,0.3849798639669505,0.36019097110594295,0.43091899927851574,0.43091899927851574
future_holdout,裂隙水,裂隙水3,Transformer,0.3825106026017333,0.3028231246278049,0.43819576022794526,0.43819576022794526
future_holdout,裂隙水,裂隙水3,TCN,0.2569487722837917,0.2217382781847173,0.7464923023678056,0.7464923023678056
future_holdout,裂隙水,裂隙水3,Stacking,0.27123470909006175,0.1978721766018064,0.7175194271086986,0.7175194271086986
test,岩溶水,岩溶水1,Persistence,0.7711269948668595,0.287123884297521,0.9179902329331971,0.9179902329331971
test,岩溶水,岩溶水1,LSTM,0.7578288305802531,0.25863351752285657,0.9207943774806372,0.9207943774806372
test,岩溶水,岩溶水1,Transformer,0.7304635066303246,0.2598760455025912,0.9264113539462375,0.9264113539462375
test,岩溶水,岩溶水1,TCN,0.7698363557096682,0.3725060880640299,0.9182645235252327,0.9182645235252327
test,岩溶水,岩溶水1,Stacking,0.7630340324565204,0.2973365115466942,0.9197025817347005,0.9197025817347005
future_holdout,岩溶水,岩溶水1,Persistence,1.1213895134683076,1.0412683333333443,-6.257345987608038,-6.257345987608038
future_holdout,岩溶水,岩溶水1,LSTM,0.2154094999542361,0.17045647346036502,0.7322098785259221,0.7322098785259221
future_holdout,岩溶水,岩溶水1,Transformer,0.5086387548147675,0.40292714416653247,-0.4930822821864558,-0.4930822821864558
future_holdout,岩溶水,岩溶水1,TCN,0.30309919575792327,0.24541574691826706,0.46980648043280393,0.46980648043280393
future_holdout,岩溶水,岩溶水1,Stacking,0.4373687798539558,0.3106780891865185,-0.10397796556556171,-0.10397796556556171
test,岩溶水,岩溶水2,Persistence,0.18125105328847965,0.09530785123967346,0.6874205876697366,0.6874205876697366
test,岩溶水,岩溶水2,LSTM,0.1632003861117928,0.09130227069742192,0.7465795509730992,0.7465795509730992
test,岩溶水,岩溶水2,Transformer,0.16336454780158874,0.08300664380849807,0.7460694682015836,0.7460694682015836
test,岩溶水,岩溶水2,TCN,0.17472490086739065,0.10297860357215027,0.7095249081079458,0.7095249081079458
test,岩溶水,岩溶水2,Stacking,0.15320500649654334,0.0919809839675487,0.7766709556948208,0.7766709556948208
future_holdout,岩溶水,岩溶水2,Persistence,0.20046676352120626,0.18774366666666728,-2.3512907921855923,-2.3512907921855923
future_holdout,岩溶水,岩溶水2,LSTM,0.22593715685504448,0.1867156447958564,-3.256990434521409,-3.256990434521409
future_holdout,岩溶水,岩溶水2,Transformer,0.1490517063708233,0.11794484752717456,-0.8526836126203854,-0.8526836126203854
future_holdout,岩溶水,岩溶水2,TCN,0.1122423859058897,0.09118414307707591,-0.05060904425479862,-0.05060904425479862
future_holdout,岩溶水,岩溶水2,Stacking,0.09001293623529091,0.06616584088865428,0.3243259916637299,0.3243259916637299
test,岩溶水,岩溶水3,Persistence,0.08600471250782363,0.04519074380165325,0.8979256662340953,0.8979256662340953
test,岩溶水,岩溶水3,LSTM,0.06107059246750257,0.04174572551982395,0.9485321147982844,0.9485321147982844
test,岩溶水,岩溶水3,Transformer,0.05721145194742006,0.034613793835510685,0.9548312578614789,0.9548312578614789
test,岩溶水,岩溶水3,TCN,0.0672008174591124,0.04304993024495503,0.937680900514063,0.937680900514063
test,岩溶水,岩溶水3,Stacking,0.062271700699473215,0.040088035414728516,0.9464877131657605,0.9464877131657605
future_holdout,岩溶水,岩溶水3,Persistence,0.7100971680176585,0.6643186666666907,-7.014119981943349,-7.014119981943349
future_holdout,岩溶水,岩溶水3,LSTM,0.213080664823353,0.19409936358572774,0.27838032601013374,0.27838032601013374
future_holdout,岩溶水,岩溶水3,Transformer,0.19525246973677018,0.18348513744149006,0.39408270246732136,0.39408270246732136
future_holdout,岩溶水,岩溶水3,TCN,0.18478929599374655,0.17623520383847147,0.4572824062896512,0.4572824062896512
future_holdout,岩溶水,岩溶水3,Stacking,0.07893866235384969,0.06528386895126345,0.900962469075518,0.900962469075518
test,孔隙水,孔隙水1,Persistence,0.0539398195420731,0.03586776859504159,0.9649610657258911,0.9649610657258911
test,孔隙水,孔隙水1,LSTM,0.0671656626520093,0.04296019151836165,0.9456716496980297,0.9456716496980297
test,孔隙水,孔隙水1,Transformer,0.06140030113219212,0.0401248683875582,0.9545982166164514,0.9545982166164514
test,孔隙水,孔隙水1,TCN,0.07205554674030637,0.048869290750802215,0.9374731218395236,0.9374731218395236
test,孔隙水,孔隙水1,Stacking,0.06510051102321537,0.043057982618668056,0.948961170554664,0.948961170554664
future_holdout,孔隙水,孔隙水1,Persistence,0.13688498822003572,0.10549999999999689,-0.24948829420902108,-0.24948829420902108
future_holdout,孔隙水,孔隙水1,LSTM,0.2082971122334564,0.176837017823091,-1.893257210157242,-1.893257210157242
future_holdout,孔隙水,孔隙水1,Transformer,0.15875767939418312,0.13660215871685893,-0.6806993422354009,-0.6806993422354009
future_holdout,孔隙水,孔隙水1,TCN,0.08720222843906446,0.07913091232481027,0.4929208977670242,0.4929208977670242
future_holdout,孔隙水,孔隙水1,Stacking,0.10723259668449205,0.10023487506445103,0.2332139708162616,0.2332139708162616
test,孔隙水,孔隙水2,Persistence,0.3092586443268994,0.21057851239669764,0.8964792966215261,0.8964792966215261
test,孔隙水,孔隙水2,LSTM,0.3133101813084318,0.2358135161376216,0.8937491202973804,0.8937491202973804
test,孔隙水,孔隙水2,Transformer,0.3529074278160177,0.2792393551903739,0.8651952742626074,0.8651952742626074
test,孔隙水,孔隙水2,TCN,0.3014548877451846,0.21952483369055795,0.9016378125509718,0.9016378125509718
test,孔隙水,孔隙水2,Stacking,0.3239100381998528,0.25608924780245634,0.8864381828447512,0.8864381828447512
future_holdout,孔隙水,孔隙水2,Persistence,0.7443307956368213,0.7016666666666747,-0.08648274103878228,-0.08648274103878228
future_holdout,孔隙水,孔隙水2,LSTM,0.369883979813344,0.26611099545915146,0.7316992416792747,0.7316992416792747
future_holdout,孔隙水,孔隙水2,Transformer,0.41490519688188204,0.37226098855955075,0.6624107523614267,0.6624107523614267
future_holdout,孔隙水,孔隙水2,TCN,0.345860933047604,0.28299844522120643,0.7654184378682793,0.7654184378682793
future_holdout,孔隙水,孔隙水2,Stacking,0.30694909896691275,0.27401273224590267,0.8152333510461954,0.8152333510461954
test,孔隙水,孔隙水3,Persistence,0.12284842504969358,0.07181818181818192,0.9663662025651835,0.9663662025651835
test,孔隙水,孔隙水3,LSTM,0.10840834671144473,0.06418396521004807,0.9738083920987032,0.9738083920987032
test,孔隙水,孔隙水3,Transformer,0.13503480779577984,0.0790403863621107,0.9593623880140566,0.9593623880140566
test,孔隙水,孔隙水3,TCN,0.1461836619574005,0.09739830938924443,0.9523750654386993,0.9523750654386993
test,孔隙水,孔隙水3,Stacking,0.122918564574522,0.07903216241573158,0.9663277855970535,0.9663277855970535
future_holdout,孔隙水,孔隙水3,Persistence,0.2687874004983663,0.23533333333333814,-3.2838507352554567,-3.2838507352554567
future_holdout,孔隙水,孔隙水3,LSTM,0.0719386181009653,0.05724832612347512,0.6931397053148671,0.6931397053148671
future_holdout,孔隙水,孔隙水3,Transformer,0.11139383535833115,0.09900717965309411,0.2642354991135464,0.2642354991135464
future_holdout,孔隙水,孔隙水3,TCN,0.1038234384491086,0.08491381270575146,0.36084332115004636,0.36084332115004636
future_holdout,孔隙水,孔隙水3,Stacking,0.057560058923935224,0.04920825781426288,0.8035468596825641,0.8035468596825641
