split,aquifer_type,model,RMSE,MAE,R2,NSE
future_holdout,孔隙水,LSTM,0.2801889058063468,0.22443348922821874,-0.6475654119644177,-0.6475654119644177
future_holdout,孔隙水,Persistence,0.3833343947850744,0.34750000000000325,-1.2066072568344202,-1.2066072568344202
future_holdout,孔隙水,Stacking,0.19424167176794374,0.16904145259900646,0.10413663089825691,0.10413663089825691
future_holdout,孔隙水,TCN,0.2178967413082894,0.1751854958348152,0.478915226289326,0.478915226289326
future_holdout,孔隙水,Transformer,0.18118316777940757,0.15259751090288917,0.6706233695904634,0.6706233695904634
future_holdout,岩溶水,LSTM,0.23352144950553444,0.2093837635058801,-0.5578552388518929,-0.5578552388518929
future_holdout,岩溶水,Persistence,0.6773178150023909,0.6311102222222341,-5.20758558724566,-5.20758558724566
future_holdout,岩溶水,Stacking,0.3533877983772353,0.22065569674129634,-0.796627445595095,-0.796627445595095
future_holdout,岩溶水,TCN,0.2695703298783371,0.23197531727680598,-0.05262533777888397,-0.05262533777888397
future_holdout,岩溶水,Transformer,0.2175385834079798,0.18487291707095702,0.29830283132560337,0.29830283132560337
future_holdout,裂隙水,LSTM,0.15536909286864284,0.12472008023896518,0.7629890585731228,0.7629890585731228
future_holdout,裂隙水,Persistence,0.531191619122115,0.45166666666666994,-2.524160931853574,-2.524160931853574
future_holdout,裂隙水,Stacking,0.38004454018422223,0.33975333901364785,-0.13597219353805592,-0.13597219353805592
future_holdout,裂隙水,TCN,0.21447104448347268,0.1779690706252691,0.67194654140921,0.67194654140921
future_holdout,裂隙水,Transformer,0.28683291485775847,0.23399620520485956,0.4009950705315692,0.4009950705315692
test,孔隙水,LSTM,0.16327334809512356,0.11686406039801918,0.9389453888895304,0.9389453888895304
test,孔隙水,Persistence,0.1615735957523241,0.10592896174863509,0.9438513778859899,0.9438513778859899
test,孔隙水,Stacking,0.16780846206629216,0.12472163355924724,0.9371515987534945,0.9371515987534945
test,孔隙水,TCN,0.1746993394920301,0.12117914234498794,0.9298364285976023,0.9298364285976023
test,孔隙水,Transformer,0.1706813335955372,0.11658700661127347,0.9373589834068033,0.9373589834068033
test,岩溶水,LSTM,0.32553459124644896,0.12449787194460304,0.8778550583417978,0.8778550583417978
test,岩溶水,Persistence,0.3457235559720491,0.14348204918032945,0.8354993982897848,0.8354993982897848
test,岩溶水,Stacking,0.33305314983970546,0.1538665110911939,0.8729437382601195,0.8729437382601195
test,岩溶水,TCN,0.3400147538427542,0.16445807986069746,0.8595561310007857,0.8595561310007857
test,岩溶水,Transformer,0.32913650580889653,0.1547841638359739,0.8692882968615278,0.8692882968615278
test,裂隙水,LSTM,0.1377034667960142,0.09482988805372394,0.9234269074527809,0.9234269074527809
test,裂隙水,Persistence,0.12041192039677455,0.08480874316939835,0.9436824453271861,0.9436824453271861
test,裂隙水,Stacking,0.13141736778451688,0.08908049250393646,0.9367247948798454,0.9367247948798454
test,裂隙水,TCN,0.1663153595860102,0.12542774608687465,0.8835759998994429,0.8835759998994429
test,裂隙水,Transformer,0.11320683475293929,0.0778405559472359,0.949301930101385,0.949301930101385
