lookback,split,well,model,RMSE,MAE,R2,NSE
12,selection,裂隙水1,Persistence,0.17682656716334041,0.11995850622406555,0.9714292454458339,0.9714292454458339
12,selection,裂隙水1,LSTM,0.15074103973017872,0.10417322724548021,0.9792370197138786,0.9792370197138786
12,selection,裂隙水1,Transformer,0.13859310064502106,0.09645102215292965,0.9824486753007725,0.9824486753007725
12,selection,裂隙水1,TCN,0.21089583090338543,0.15870961321904253,0.9593591607620653,0.9593591607620653
12,selection,裂隙水1,Stacking,0.19892796023673204,0.1524282193692769,0.9638408396116844,0.9638408396116844
12,selection,裂隙水2,Persistence,0.07475547968369003,0.04510373443983428,0.9570189480624745,0.9570189480624745
12,selection,裂隙水2,LSTM,0.062228604779227814,0.03580167446649801,0.970216817485244,0.970216817485244
12,selection,裂隙水2,Transformer,0.06414216763799023,0.038549170750345016,0.9683569570822101,0.9683569570822101
12,selection,裂隙水2,TCN,0.07887134147608975,0.05319711142829625,0.9521557853270854,0.9521557853270854
12,selection,裂隙水2,Stacking,0.061343730654100474,0.03793252093626703,0.9710578130895374,0.9710578130895374
12,selection,裂隙水3,Persistence,0.11996022854069319,0.08784232365145211,0.9631432763355599,0.9631432763355599
12,selection,裂隙水3,LSTM,0.11822098820710213,0.08381346915786568,0.9642042613878057,0.9642042613878057
12,selection,裂隙水3,Transformer,0.1071977847464077,0.07418412565851035,0.9705684063353165,0.9705684063353165
12,selection,裂隙水3,TCN,0.1375875629277622,0.10393097807138187,0.9515157687725658,0.9515157687725658
12,selection,裂隙水3,Stacking,0.11537571351251179,0.0830977051867481,0.9659065494961884,0.9659065494961884
12,selection,岩溶水1,Persistence,0.7942818297567563,0.3761370539419098,0.8960115670893347,0.8960115670893347
12,selection,岩溶水1,LSTM,0.7428351873677975,0.34535413900580797,0.9090462282221905,0.9090462282221905
12,selection,岩溶水1,Transformer,0.7532363024363626,0.3781997421427966,0.9064813424637729,0.9064813424637729
12,selection,岩溶水1,TCN,0.7685182800667518,0.41753881640087576,0.9026481559089586,0.9026481559089586
12,selection,岩溶水1,Stacking,0.7319020166978157,0.39266005934825476,0.9117038706137208,0.9117038706137208
12,selection,岩溶水2,Persistence,0.17701935148676612,0.1038907883817433,0.8382528886303412,0.8382528886303412
12,selection,岩溶水2,LSTM,0.15985720910857254,0.10687763570718943,0.8680955353441696,0.8680955353441696
12,selection,岩溶水2,Transformer,0.1662316208540776,0.10491033782467596,0.8573662430257653,0.8573662430257653
12,selection,岩溶水2,TCN,0.15783900105472337,0.10937652218316779,0.8714051163214975,0.8714051163214975
12,selection,岩溶水2,Stacking,0.17006803434656279,0.11126876619441296,0.8507066625039859,0.8507066625039859
12,selection,岩溶水3,Persistence,0.10575160750374721,0.06697095435684783,0.9187289761965932,0.9187289761965932
12,selection,岩溶水3,LSTM,0.08719486545734234,0.048656874682062874,0.9447485602831956,0.9447485602831956
12,selection,岩溶水3,Transformer,0.08723683914369473,0.04886988962732394,0.944695353829526,0.944695353829526
12,selection,岩溶水3,TCN,0.09776760347889948,0.058112294694328985,0.9305372912761823,0.9305372912761823
12,selection,岩溶水3,Stacking,0.09459149078543307,0.05379010812779337,0.9349771627917792,0.9349771627917792
12,selection,孔隙水1,Persistence,0.07381678094282931,0.04572154619754364,0.935243980162006,0.935243980162006
12,selection,孔隙水1,LSTM,0.0766884000216836,0.04924314131966559,0.9301077056918952,0.9301077056918952
12,selection,孔隙水1,Transformer,0.07080502638376052,0.04406378314854529,0.9404203262335866,0.9404203262335866
12,selection,孔隙水1,TCN,0.09273218875893481,0.06132608148493109,0.897804690305291,0.897804690305291
12,selection,孔隙水1,Stacking,0.07368369346470312,0.046193721413730175,0.9354772725431281,0.9354772725431281
12,selection,孔隙水2,Persistence,0.3298852434694819,0.24116182572613967,0.9066824296800235,0.9066824296800235
12,selection,孔隙水2,LSTM,0.29591907955386293,0.220706428967184,0.9249097449200984,0.9249097449200984
12,selection,孔隙水2,Transformer,0.28993823019278286,0.21132670897722894,0.9279143843467926,0.9279143843467926
12,selection,孔隙水2,TCN,0.3243966302344341,0.24454029057153853,0.9097618229902393,0.9097618229902393
12,selection,孔隙水2,Stacking,0.33186235449780044,0.2529569775750775,0.9055605117807607,0.9055605117807607
12,selection,孔隙水3,Persistence,0.16628975361601936,0.08091286307053935,0.9398579802936416,0.9398579802936416
12,selection,孔隙水3,LSTM,0.17605638668753443,0.07302164704335311,0.9325859222512755,0.9325859222512755
12,selection,孔隙水3,Transformer,0.18541241631072256,0.07870316259239632,0.9252304690257629,0.9252304690257629
12,selection,孔隙水3,TCN,0.18341642062760913,0.10048726478212748,0.9268316170939042,0.9268316170939042
12,selection,孔隙水3,Stacking,0.17920300721147583,0.08526612968484301,0.9301546310942317,0.9301546310942317
18,selection,裂隙水1,Persistence,0.17702518653193453,0.11995833333333247,0.9714820614204666,0.9714820614204666
18,selection,裂隙水1,LSTM,0.15608095459834784,0.1122633812430081,0.9778309117055891,0.9778309117055891
18,selection,裂隙水1,Transformer,0.1435041776770919,0.0979840794674305,0.9812596759294208,0.9812596759294208
18,selection,裂隙水1,TCN,0.20038521429024836,0.14966834422350458,0.9634590903368696,0.9634590903368696
18,selection,裂隙水1,Stacking,0.1923107684059597,0.15055556310035503,0.9663445645309527,0.9663445645309527
18,selection,裂隙水2,Persistence,0.07488602450835985,0.04516666666666692,0.9570182357801844,0.9570182357801844
18,selection,裂隙水2,LSTM,0.06129271200061103,0.03451236066936628,0.9712061086334292,0.9712061086334292
18,selection,裂隙水2,Transformer,0.05922393285497205,0.03785006559310584,0.9731170345401156,0.9731170345401156
18,selection,裂隙水2,TCN,0.07213629662239246,0.04827652602786034,0.9601167655923455,0.9601167655923455
18,selection,裂隙水2,Stacking,0.061331696378317195,0.036115708389598565,0.9711694690761613,0.9711694690761613
18,selection,裂隙水3,Persistence,0.12012493496356225,0.08791666666666641,0.9630720409181802,0.9630720409181802
18,selection,裂隙水3,LSTM,0.12230090429700882,0.08642084414292353,0.9617220816868266,0.9617220816868266
18,selection,裂隙水3,Transformer,0.10808818999385854,0.07868540235147208,0.9701017710285998,0.9701017710285998
18,selection,裂隙水3,TCN,0.14199415277385463,0.10570427748157828,0.9484023530722054,0.9484023530722054
18,selection,裂隙水3,Stacking,0.11599240177632066,0.08256925616878709,0.965569125199049,0.965569125199049
18,selection,岩溶水1,Persistence,0.7958081679564795,0.37678762500000124,0.8959581637189312,0.8959581637189312
18,selection,岩溶水1,LSTM,0.7528088834642676,0.3658045218468627,0.9068976389642502,0.9068976389642502
18,selection,岩溶水1,Transformer,0.7714070557167051,0.44451751602168676,0.9022406201912819,0.9022406201912819
18,selection,岩溶水1,TCN,0.7858084443978846,0.43403696564577576,0.8985564107281951,0.8985564107281951
