dropout,well,model,RMSE,MAE,R2,NSE
0.0,岩溶水,LSTM,0.37861171456914133,0.2991328691585003,0.975097705486408,0.975097705486408
0.0,岩溶水,Transformer,0.45643226508483414,0.35251912122525664,0.963808719898707,0.963808719898707
0.0,岩溶水,TCN,0.6644709515092586,0.5237350731776095,0.9232986036977774,0.9232986036977774
0.0,岩溶水,Stacking,0.5363527145680269,0.381837931439518,0.950025065157201,0.950025065157201
0.0,孔隙水,LSTM,0.046863310705714256,0.03483213104771791,0.980383462731984,0.980383462731984
0.0,孔隙水,Transformer,0.031212063790799605,0.022749143371092774,0.9912983545011214,0.9912983545011214
0.0,孔隙水,TCN,0.053836283460483164,0.04122591214533463,0.9741115197252789,0.9741115197252789
0.0,孔隙水,Stacking,0.04812957415660806,0.0371724508551774,0.9793090489677361,0.9793090489677361
0.0,裂隙水,LSTM,0.08680325795715496,0.06280995280787947,0.9582518313397083,0.9582518313397083
0.0,裂隙水,Transformer,0.08429617628254743,0.06008979439410216,0.9606285754908844,0.9606285754908844
0.0,裂隙水,TCN,0.11205686115913431,0.0823484811745983,0.9304267510966198,0.9304267510966198
0.0,裂隙水,Stacking,0.12327156494400839,0.08036868277219834,0.9158040509265699,0.9158040509265699
0.1,岩溶水,LSTM,0.3680781258263643,0.27080811304573477,0.976464074080621,0.976464074080621
0.1,岩溶水,Transformer,0.4580962610709587,0.3242585005885123,0.9635443568196193,0.9635443568196193
0.1,岩溶水,TCN,0.6050977673072379,0.45896634798280783,0.9363933721869695,0.9363933721869695
0.1,岩溶水,Stacking,0.5438142003297448,0.3888933617856107,0.9486249380752619,0.9486249380752619
0.1,孔隙水,LSTM,0.044580941649087484,0.03342172001982612,0.9822476893250073,0.9822476893250073
0.1,孔隙水,Transformer,0.035274729318311486,0.026732534504768164,0.9888856570265478,0.9888856570265478
0.1,孔隙水,TCN,0.05573346579017936,0.04546494680514635,0.9722547580928035,0.9722547580928035
0.1,孔隙水,Stacking,0.052495659817249136,0.04134193023908256,0.9753848088798606,0.9753848088798606
0.1,裂隙水,LSTM,0.08914928460770398,0.06352647236314526,0.9559646854584618,0.9559646854584618
0.1,裂隙水,Transformer,0.08998110703083177,0.06464699867947521,0.9551390938374468,0.9551390938374468
0.1,裂隙水,TCN,0.11614221892746059,0.08315108884683332,0.925261286819788,0.925261286819788
0.1,裂隙水,Stacking,0.12941208355789074,0.07935936237016905,0.9072070382099082,0.9072070382099082
0.2,岩溶水,LSTM,0.41783917156404055,0.31715335540473266,0.9696701980731052,0.9696701980731052
0.2,岩溶水,Transformer,0.4653752353162548,0.3490177487191784,0.9623766200687676,0.9623766200687676
0.2,岩溶水,TCN,0.636959590055121,0.5123177628784292,0.9295185172376661,0.9295185172376661
0.2,岩溶水,Stacking,0.5696409644869678,0.41239188557079587,0.9436292650959884,0.9436292650959884
