well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.341814073673405,0.2458709713069134,0.9797064954086419,0.9797064954086419
岩溶水,Transformer,0.497209279973729,0.3623811648658027,0.9570606342457909,0.9570606342457909
岩溶水,TCN,0.516938469884958,0.41984993928258313,0.9535853713907858,0.9535853713907858
岩溶水,Stacking,0.4403486839061932,0.31108821784470103,0.9663201166135034,0.9663201166135034
孔隙水,LSTM,0.04975940317809998,0.03575518227650134,0.9869363944805645,0.9869363944805645
孔隙水,Transformer,0.05084036068641487,0.03954367505633642,0.9863626502704542,0.9863626502704542
孔隙水,TCN,0.06568644597271077,0.05198600505168348,0.9772351778720654,0.9772351778720654
孔隙水,Stacking,0.04548634398969053,0.03230804516089457,0.9890837167775164,0.9890837167775164
裂隙水,LSTM,0.09813315606840385,0.07303939445387338,0.9505847786704399,0.9505847786704399
裂隙水,Transformer,0.0942347774797838,0.060335169656618046,0.9544328747306068,0.9544328747306068
裂隙水,TCN,0.11637469500489041,0.0828125189187311,0.9305061578299237,0.9305061578299237
裂隙水,Stacking,0.10010616111325801,0.07387868672127453,0.9485777794635635,0.9485777794635635
