seed,split,model,rank_by_nrmse,mean_per_well_nrmse
40,future_holdout,DynamicGatedStacking,1,0.18108809079640703
40,future_holdout,TCN,2,0.18255196097830162
40,future_holdout,LSTM,3,0.18995015972979842
40,future_holdout,Transformer,4,0.19253543663375308
40,selection,Transformer,1,0.05816138336800547
40,selection,DynamicGatedStacking,2,0.05892759197560411
40,selection,TCN,3,0.06339558355922333
40,selection,LSTM,4,0.06650422926337109
40,test,DynamicGatedStacking,1,0.06987368453253827
40,test,Transformer,2,0.07068383897205038
40,test,LSTM,3,0.07823126447112609
40,test,TCN,4,0.08230880264433528
41,future_holdout,DynamicGatedStacking,1,0.16705579040780244
41,future_holdout,LSTM,2,0.17313444322500166
41,future_holdout,Transformer,3,0.17722771008758492
41,future_holdout,TCN,4,0.1875299637636491
41,selection,Transformer,1,0.059929863967583596
41,selection,DynamicGatedStacking,2,0.05995445875046044
41,selection,TCN,3,0.06518540531314225
41,selection,LSTM,4,0.06684422461277054
41,test,Transformer,1,0.06953643656594169
41,test,DynamicGatedStacking,2,0.07046255210699794
41,test,LSTM,3,0.07725542365501283
41,test,TCN,4,0.08428989591433135
42,future_holdout,LSTM,1,0.16904787261486706
42,future_holdout,DynamicGatedStacking,2,0.17722594680757137
42,future_holdout,Transformer,3,0.19204898020437858
42,future_holdout,TCN,4,0.1974682995008207
42,selection,Transformer,1,0.05984697120595806
42,selection,DynamicGatedStacking,2,0.06019908357317009
42,selection,TCN,3,0.0643919881746531
42,selection,LSTM,4,0.06695395651550287
42,test,Transformer,1,0.07060152143570898
42,test,DynamicGatedStacking,2,0.07114741974924496
42,test,LSTM,3,0.07894759605373478
42,test,TCN,4,0.08392324657384634
43,future_holdout,Transformer,1,0.15919087413408953
43,future_holdout,LSTM,2,0.17087226885329165
43,future_holdout,DynamicGatedStacking,3,0.17388259979592305
43,future_holdout,TCN,4,0.19871087893574943
43,selection,Transformer,1,0.05847410518539777
43,selection,DynamicGatedStacking,2,0.05910934864371058
43,selection,TCN,3,0.0636439094267159
43,selection,LSTM,4,0.06571564323573822
43,test,DynamicGatedStacking,1,0.07060872597792191
43,test,Transformer,2,0.07195408263335751
