split,model,mean_nrmse,std_nrmse,mean_weighted_rmse,std_weighted_rmse,mean_nse,std_nse,n_seeds
future_holdout,DynamicGatedStacking,0.167970936138324,0.00895330740359028,0.6891440239112783,0.06485827620539537,0.5277274854045598,0.08455396601561652,11
future_holdout,LSTM,0.16912179789155726,0.009487384853847895,0.662355114584448,0.06983954324896773,0.5240544851939494,0.10324331354747893,11
future_holdout,Transformer,0.18015288552886768,0.017988773551414934,0.7962897772655542,0.1357670406395891,0.5517996842455452,0.1226326267029219,11
future_holdout,TCN,0.19527721089292707,0.011070380263053852,0.8597810639399603,0.07967496737407312,0.378147309835229,0.13984862167402248,11
selection,DynamicGatedStacking,0.05954490904630609,0.00047673900175766195,0.5730100014463414,0.007593775460266918,0.9198863979369694,0.0011323803520090583,11
selection,Transformer,0.0597077656852757,0.0007776081997281143,0.565344363798527,0.009920561625117123,0.9189764446445786,0.0017968300147928583,11
selection,TCN,0.06399613619984384,0.0006893365770309201,0.6226156216093499,0.012018820447965668,0.9110892037922766,0.0014369984445446308,11
selection,LSTM,0.06628540099260204,0.0004997647418014934,0.6512863828481457,0.017513881810992477,0.9051376359509732,0.0012937058154342007,11
test,DynamicGatedStacking,0.07038799102709248,0.0008734080908239247,0.3391245755438131,0.007844437791359977,0.9071474690144433,0.0019499542956132516,11
test,Transformer,0.0714916549694946,0.001190268606746923,0.3417850825835988,0.010596317369860098,0.9057435787839588,0.0028762689396310014,11
test,LSTM,0.07806185517661002,0.0009171001172685556,0.38683507560951275,0.02161520013124622,0.886615199464228,0.00246725580258615,11
test,TCN,0.08329147577903616,0.0017719979783207464,0.402748468703934,0.022563843957694653,0.8761318198468676,0.005791150253536842,11
