split,well,seed,scenario_id,aquifer,model_a,model_b,p_a_better_than_b,p_b_better_than_a,a_win_rate,b_win_rate,tie_rate,dominates,dominance_label,loss
test,孔隙水1,,孔隙水1,孔隙水1,LSTM,Transformer,0.9996,0.0004,0.9996,0.0004,0.0,True,reproducible,squared
test,孔隙水1,,孔隙水1,孔隙水1,Transformer,LSTM,0.0004,0.9996,0.0004,0.9996,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,LSTM,TCN,0.5414,0.4586,0.5414,0.4586,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,TCN,LSTM,0.4586,0.5414,0.4586,0.5414,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,LSTM,DynamicGatedStacking,0.8468,0.1532,0.8468,0.1532,0.0,False,trend,squared
test,孔隙水1,,孔隙水1,孔隙水1,DynamicGatedStacking,LSTM,0.1532,0.8468,0.1532,0.8468,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,Transformer,TCN,0.0878,0.9122,0.0878,0.9122,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,TCN,Transformer,0.9122,0.0878,0.9122,0.0878,0.0,False,trend,squared
test,孔隙水1,,孔隙水1,孔隙水1,Transformer,DynamicGatedStacking,0.0002,0.9998,0.0002,0.9998,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,DynamicGatedStacking,Transformer,0.9998,0.0002,0.9998,0.0002,0.0,True,reproducible,squared
test,孔隙水1,,孔隙水1,孔隙水1,TCN,DynamicGatedStacking,0.5164,0.4836,0.5164,0.4836,0.0,False,unstable,squared
test,孔隙水1,,孔隙水1,孔隙水1,DynamicGatedStacking,TCN,0.4836,0.5164,0.4836,0.5164,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,LSTM,Transformer,0.2908,0.7092,0.2908,0.7092,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,Transformer,LSTM,0.7092,0.2908,0.7092,0.2908,0.0,False,trend,squared
test,孔隙水2,,孔隙水2,孔隙水2,LSTM,TCN,0.7508,0.2492,0.7508,0.2492,0.0,False,trend,squared
test,孔隙水2,,孔隙水2,孔隙水2,TCN,LSTM,0.2492,0.7508,0.2492,0.7508,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,LSTM,DynamicGatedStacking,0.024,0.976,0.024,0.976,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,DynamicGatedStacking,LSTM,0.976,0.024,0.976,0.024,0.0,True,reproducible,squared
test,孔隙水2,,孔隙水2,孔隙水2,Transformer,TCN,0.8906,0.1094,0.8906,0.1094,0.0,False,trend,squared
test,孔隙水2,,孔隙水2,孔隙水2,TCN,Transformer,0.1094,0.8906,0.1094,0.8906,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,Transformer,DynamicGatedStacking,0.0366,0.9634,0.0366,0.9634,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,DynamicGatedStacking,Transformer,0.9634,0.0366,0.9634,0.0366,0.0,True,reproducible,squared
test,孔隙水2,,孔隙水2,孔隙水2,TCN,DynamicGatedStacking,0.0044,0.9956,0.0044,0.9956,0.0,False,unstable,squared
test,孔隙水2,,孔隙水2,孔隙水2,DynamicGatedStacking,TCN,0.9956,0.0044,0.9956,0.0044,0.0,True,reproducible,squared
test,孔隙水3,,孔隙水3,孔隙水3,LSTM,Transformer,0.0734,0.9266,0.0734,0.9266,0.0,False,unstable,squared
test,孔隙水3,,孔隙水3,孔隙水3,Transformer,LSTM,0.9266,0.0734,0.9266,0.0734,0.0,False,trend,squared
test,孔隙水3,,孔隙水3,孔隙水3,LSTM,TCN,0.9576,0.0424,0.9576,0.0424,0.0,True,reproducible,squared
test,孔隙水3,,孔隙水3,孔隙水3,TCN,LSTM,0.0424,0.9576,0.0424,0.9576,0.0,False,unstable,squared
test,孔隙水3,,孔隙水3,孔隙水3,LSTM,DynamicGatedStacking,0.119,0.881,0.119,0.881,0.0,False,unstable,squared
test,孔隙水3,,孔隙水3,孔隙水3,DynamicGatedStacking,LSTM,0.881,0.119,0.881,0.119,0.0,False,trend,squared
test,孔隙水3,,孔隙水3,孔隙水3,Transformer,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,孔隙水3,,孔隙水3,孔隙水3,TCN,Transformer,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,孔隙水3,,孔隙水3,孔隙水3,Transformer,DynamicGatedStacking,0.9224,0.0776,0.9224,0.0776,0.0,False,trend,squared
test,孔隙水3,,孔隙水3,孔隙水3,DynamicGatedStacking,Transformer,0.0776,0.9224,0.0776,0.9224,0.0,False,unstable,squared
test,孔隙水3,,孔隙水3,孔隙水3,TCN,DynamicGatedStacking,0.0002,0.9998,0.0002,0.9998,0.0,False,unstable,squared
test,孔隙水3,,孔隙水3,孔隙水3,DynamicGatedStacking,TCN,0.9998,0.0002,0.9998,0.0002,0.0,True,reproducible,squared
test,孔隙水4,,孔隙水4,孔隙水4,LSTM,Transformer,0.9926,0.0074,0.9926,0.0074,0.0,True,reproducible,squared
test,孔隙水4,,孔隙水4,孔隙水4,Transformer,LSTM,0.0074,0.9926,0.0074,0.9926,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,LSTM,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,孔隙水4,,孔隙水4,孔隙水4,TCN,LSTM,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,LSTM,DynamicGatedStacking,0.9082,0.0918,0.9082,0.0918,0.0,False,trend,squared
test,孔隙水4,,孔隙水4,孔隙水4,DynamicGatedStacking,LSTM,0.0918,0.9082,0.0918,0.9082,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,Transformer,TCN,0.3812,0.6188,0.3812,0.6188,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,TCN,Transformer,0.6188,0.3812,0.6188,0.3812,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,Transformer,DynamicGatedStacking,0.0016,0.9984,0.0016,0.9984,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,DynamicGatedStacking,Transformer,0.9984,0.0016,0.9984,0.0016,0.0,True,reproducible,squared
test,孔隙水4,,孔隙水4,孔隙水4,TCN,DynamicGatedStacking,0.0022,0.9978,0.0022,0.9978,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,DynamicGatedStacking,TCN,0.9978,0.0022,0.9978,0.0022,0.0,True,reproducible,squared
