split,well,seed,scenario_id,aquifer,model,loss,bootstrap_method,block_size,mean_risk,risk_q05,risk_q50,risk_q95,n_points
test,孔隙水1,,孔隙水1,孔隙水1,LSTM,squared,block,8,0.0014445083049547769,0.0007346090968913634,0.001484233241490669,0.002626954055763274,71
test,孔隙水1,,孔隙水1,孔隙水1,Transformer,squared,block,8,0.0019956421361434773,0.0010038117561457826,0.002040601135892415,0.0036317636952147648,71
test,孔隙水1,,孔隙水1,孔隙水1,TCN,squared,block,8,0.0014388773385589873,0.0009141377218391689,0.0014010583719890628,0.0022472348369867215,71
test,孔隙水1,,孔隙水1,孔隙水1,DynamicGatedStacking,squared,block,8,0.0015101891653797434,0.0007698131021263567,0.0015698455581566366,0.0027608512955811957,71
test,孔隙水2,,孔隙水2,孔隙水2,LSTM,squared,block,8,0.0018028069558559867,0.0011660999599745832,0.001796727278211775,0.002479773577986077,71
test,孔隙水2,,孔隙水2,孔隙水2,Transformer,squared,block,8,0.0015053830709853377,0.0008685939157401152,0.0014986010277564111,0.002192176366450101,71
test,孔隙水2,,孔隙水2,孔隙水2,TCN,squared,block,8,0.0023140646808278327,0.0015157715993918972,0.00226753501060023,0.0032543071956342155,71
test,孔隙水2,,孔隙水2,孔隙水2,DynamicGatedStacking,squared,block,8,0.001066920461858471,0.000726224428216912,0.0010649111069586333,0.0014200780486595904,71
test,孔隙水3,,孔隙水3,孔隙水3,LSTM,squared,block,8,0.0052477876414948315,0.0033103452658485247,0.005203654164101044,0.0073226632018405,71
test,孔隙水3,,孔隙水3,孔隙水3,Transformer,squared,block,8,0.003345373455315061,0.0021353403264813466,0.003056071196107206,0.005327868320258441,71
test,孔隙水3,,孔隙水3,孔隙水3,TCN,squared,block,8,0.007942494041445067,0.004908977359279782,0.007841788135698599,0.011308922572571788,71
test,孔隙水3,,孔隙水3,孔隙水3,DynamicGatedStacking,squared,block,8,0.0040956378183519375,0.0025597361270711665,0.004000703017578548,0.0058906791115056764,71
test,孔隙水4,,孔隙水4,孔隙水4,LSTM,squared,block,8,0.0022987952353576424,0.0010164220340972798,0.0021864325589829384,0.003936564123534682,71
test,孔隙水4,,孔隙水4,孔隙水4,Transformer,squared,block,8,0.0035021700807531006,0.0013140399377746855,0.0032868515613208287,0.006440799155366499,71
test,孔隙水4,,孔隙水4,孔隙水4,TCN,squared,block,8,0.0033001226014889185,0.0016699296378314893,0.0031695471822333994,0.005351625238457359,71
test,孔隙水4,,孔隙水4,孔隙水4,DynamicGatedStacking,squared,block,8,0.0027132137960357242,0.0010228332975937891,0.0025559821064349013,0.004896935323165403,71
test,孔隙水5,,孔隙水5,孔隙水5,LSTM,squared,block,8,0.0014148483038927302,0.0005765391848339299,0.0013701533799348755,0.0023675255688116125,71
