split,well,seed,scenario_id,aquifer,rejected_model,dominating_model,dominance_probability,reason
test,孔隙水1,,孔隙水1,孔隙水1,Transformer,LSTM,0.9996,P(R_LSTM < R_Transformer) = 1.000 >= 0.95
test,孔隙水1,,孔隙水1,孔隙水1,Transformer,DynamicGatedStacking,0.9998,P(R_DynamicGatedStacking < R_Transformer) = 1.000 >= 0.95
test,孔隙水2,,孔隙水2,孔隙水2,LSTM,DynamicGatedStacking,0.976,P(R_DynamicGatedStacking < R_LSTM) = 0.976 >= 0.95
test,孔隙水2,,孔隙水2,孔隙水2,Transformer,DynamicGatedStacking,0.9634,P(R_DynamicGatedStacking < R_Transformer) = 0.963 >= 0.95
test,孔隙水2,,孔隙水2,孔隙水2,TCN,DynamicGatedStacking,0.9956,P(R_DynamicGatedStacking < R_TCN) = 0.996 >= 0.95
test,孔隙水3,,孔隙水3,孔隙水3,TCN,LSTM,0.9576,P(R_LSTM < R_TCN) = 0.958 >= 0.95
test,孔隙水3,,孔隙水3,孔隙水3,TCN,Transformer,1.0,P(R_Transformer < R_TCN) = 1.000 >= 0.95
test,孔隙水3,,孔隙水3,孔隙水3,TCN,DynamicGatedStacking,0.9998,P(R_DynamicGatedStacking < R_TCN) = 1.000 >= 0.95
test,孔隙水4,,孔隙水4,孔隙水4,Transformer,LSTM,0.9926,P(R_LSTM < R_Transformer) = 0.993 >= 0.95
test,孔隙水4,,孔隙水4,孔隙水4,TCN,LSTM,1.0,P(R_LSTM < R_TCN) = 1.000 >= 0.95
test,孔隙水4,,孔隙水4,孔隙水4,Transformer,DynamicGatedStacking,0.9984,P(R_DynamicGatedStacking < R_Transformer) = 0.998 >= 0.95
test,孔隙水4,,孔隙水4,孔隙水4,TCN,DynamicGatedStacking,0.9978,P(R_DynamicGatedStacking < R_TCN) = 0.998 >= 0.95
test,孔隙水5,,孔隙水5,孔隙水5,LSTM,Transformer,0.9916,P(R_Transformer < R_LSTM) = 0.992 >= 0.95
test,孔隙水5,,孔隙水5,孔隙水5,LSTM,DynamicGatedStacking,0.9962,P(R_DynamicGatedStacking < R_LSTM) = 0.996 >= 0.95
test,孔隙水5,,孔隙水5,孔隙水5,TCN,Transformer,1.0,P(R_Transformer < R_TCN) = 1.000 >= 0.95
test,孔隙水5,,孔隙水5,孔隙水5,DynamicGatedStacking,Transformer,0.961,P(R_Transformer < R_DynamicGatedStacking) = 0.961 >= 0.95
test,孔隙水5,,孔隙水5,孔隙水5,TCN,DynamicGatedStacking,1.0,P(R_DynamicGatedStacking < R_TCN) = 1.000 >= 0.95
test,岩溶水1,,岩溶水1,岩溶水1,TCN,LSTM,0.9788,P(R_LSTM < R_TCN) = 0.979 >= 0.95
test,岩溶水1,,岩溶水1,岩溶水1,TCN,DynamicGatedStacking,0.9998,P(R_DynamicGatedStacking < R_TCN) = 1.000 >= 0.95
test,岩溶水2,,岩溶水2,岩溶水2,LSTM,Transformer,0.997,P(R_Transformer < R_LSTM) = 0.997 >= 0.95
test,岩溶水2,,岩溶水2,岩溶水2,LSTM,DynamicGatedStacking,0.9974,P(R_DynamicGatedStacking < R_LSTM) = 0.997 >= 0.95
test,岩溶水2,,岩溶水2,岩溶水2,TCN,Transformer,1.0,P(R_Transformer < R_TCN) = 1.000 >= 0.95
test,岩溶水2,,岩溶水2,岩溶水2,TCN,DynamicGatedStacking,1.0,P(R_DynamicGatedStacking < R_TCN) = 1.000 >= 0.95
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,LSTM,1.0,P(R_LSTM < R_Transformer) = 1.000 >= 0.95
test,岩溶水3,,岩溶水3,岩溶水3,TCN,LSTM,0.9886,P(R_LSTM < R_TCN) = 0.989 >= 0.95
test,岩溶水3,,岩溶水3,岩溶水3,DynamicGatedStacking,LSTM,1.0,P(R_LSTM < R_DynamicGatedStacking) = 1.000 >= 0.95
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,TCN,1.0,P(R_TCN < R_Transformer) = 1.000 >= 0.95
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,DynamicGatedStacking,1.0,P(R_DynamicGatedStacking < R_Transformer) = 1.000 >= 0.95
test,岩溶水4,,岩溶水4,岩溶水4,LSTM,DynamicGatedStacking,0.9814,P(R_DynamicGatedStacking < R_LSTM) = 0.981 >= 0.95
test,岩溶水4,,岩溶水4,岩溶水4,Transformer,DynamicGatedStacking,0.9576,P(R_DynamicGatedStacking < R_Transformer) = 0.958 >= 0.95
test,岩溶水4,,岩溶水4,岩溶水4,TCN,DynamicGatedStacking,0.9876,P(R_DynamicGatedStacking < R_TCN) = 0.988 >= 0.95
test,岩溶水5,,岩溶水5,岩溶水5,LSTM,Transformer,0.9864,P(R_Transformer < R_LSTM) = 0.986 >= 0.95
test,岩溶水5,,岩溶水5,岩溶水5,LSTM,DynamicGatedStacking,0.9996,P(R_DynamicGatedStacking < R_LSTM) = 1.000 >= 0.95
test,裂隙水1,,裂隙水1,裂隙水1,LSTM,Transformer,0.9584,P(R_Transformer < R_LSTM) = 0.958 >= 0.95
test,裂隙水1,,裂隙水1,裂隙水1,TCN,LSTM,0.9814,P(R_LSTM < R_TCN) = 0.981 >= 0.95
test,裂隙水1,,裂隙水1,裂隙水1,TCN,Transformer,0.9984,P(R_Transformer < R_TCN) = 0.998 >= 0.95
test,裂隙水1,,裂隙水1,裂隙水1,DynamicGatedStacking,Transformer,0.9652,P(R_Transformer < R_DynamicGatedStacking) = 0.965 >= 0.95
