"section","split","model","metric","value","std","note"
"multiseed_point_prediction","future_holdout","DynamicGatedStacking","mean_nrmse","0.167971","0.008953","seeds=40-50; mean_rank=1.82; best_count=3/11"
"multiseed_point_prediction","future_holdout","LSTM","mean_nrmse","0.169122","0.009487","seeds=40-50; mean_rank=1.64; best_count=6/11"
"multiseed_point_prediction","future_holdout","Transformer","mean_nrmse","0.180153","0.017989","seeds=40-50; mean_rank=2.91; best_count=2/11"
"multiseed_point_prediction","future_holdout","TCN","mean_nrmse","0.195277","0.011070","seeds=40-50; mean_rank=3.64; best_count=0/11"
"multiseed_point_prediction","selection","DynamicGatedStacking","mean_nrmse","0.059545","0.000477","seeds=40-50; mean_rank=1.45; best_count=6/11"
"multiseed_point_prediction","selection","Transformer","mean_nrmse","0.059708","0.000778","seeds=40-50; mean_rank=1.55; best_count=5/11"
"multiseed_point_prediction","selection","TCN","mean_nrmse","0.063996","0.000689","seeds=40-50; mean_rank=3.00; best_count=0/11"
"multiseed_point_prediction","selection","LSTM","mean_nrmse","0.066285","0.000500","seeds=40-50; mean_rank=4.00; best_count=0/11"
"multiseed_point_prediction","test","DynamicGatedStacking","mean_nrmse","0.070388","0.000873","seeds=40-50; mean_rank=1.18; best_count=9/11"
"multiseed_point_prediction","test","Transformer","mean_nrmse","0.071492","0.001190","seeds=40-50; mean_rank=1.82; best_count=2/11"
"multiseed_point_prediction","test","LSTM","mean_nrmse","0.078062","0.000917","seeds=40-50; mean_rank=3.00; best_count=0/11"
"multiseed_point_prediction","test","TCN","mean_nrmse","0.083291","0.001772","seeds=40-50; mean_rank=4.00; best_count=0/11"
"interval_wci_seed45","test","LSTM","NRMSE_range","0.078142","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","LSTM","PICP95","0.952113","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","LSTM","MPIW95","1.344329","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","LSTM","PINAW95","0.446332","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","LSTM","CWC95","0.579250","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","Transformer","NRMSE_range","0.074703","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","Transformer","PICP95","0.958685","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","Transformer","MPIW95","1.221339","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","Transformer","PINAW95","0.415417","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","Transformer","CWC95","0.522739","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","TCN","NRMSE_range","0.085391","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","TCN","PICP95","0.940845","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","TCN","MPIW95","1.305343","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","TCN","PINAW95","0.440292","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","TCN","CWC95","0.592388","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","DynamicGatedStacking","NRMSE_range","0.071576","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","DynamicGatedStacking","PICP95","0.954930","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","DynamicGatedStacking","MPIW95","1.253632","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","DynamicGatedStacking","PINAW95","0.428172","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","test","DynamicGatedStacking","CWC95","0.550712","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","LSTM","NRMSE_range","0.170078","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","LSTM","PICP95","0.692308","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","LSTM","MPIW95","1.318898","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","LSTM","PINAW95","0.468612","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","LSTM","CWC95","0.926874","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","Transformer","NRMSE_range","0.207103","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","Transformer","PICP95","0.630769","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","Transformer","MPIW95","1.185688","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","Transformer","PINAW95","0.431543","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","Transformer","CWC95","0.955738","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","TCN","NRMSE_range","0.188104","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","TCN","PICP95","0.670513","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","TCN","MPIW95","1.276474","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","TCN","PINAW95","0.445226","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","TCN","CWC95","0.965831","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","DynamicGatedStacking","NRMSE_range","0.174264","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","DynamicGatedStacking","PICP95","0.675641","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","DynamicGatedStacking","MPIW95","1.207764","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","DynamicGatedStacking","PINAW95","0.443962","","mean over 15 wells; intervals enabled with WCI/CWC"
"interval_wci_seed45","future_holdout","DynamicGatedStacking","CWC95","0.959975","","mean over 15 wells; intervals enabled with WCI/CWC"
